success,spl,Ospl,distance_to_goal,id,island,island_area,long_memory_query,working_memory_query,search_point
1.0,0.20828511726147428,0.20828511726147428,0.4177728593349457,X7HyMhZNoso,0,289.2652282714844,0,9,9
0.0,0.0,0.0,4.021440505981445,X7HyMhZNoso,0,289.2652282714844,0,5,5
0.0,0.0,0.0,6.161771774291992,X7HyMhZNoso,0,289.2652282714844,0,3,3
1.0,0.9865121836166348,0.9865121836166348,2.381925582885742,X7HyMhZNoso,0,289.2652282714844,0,4,4
0.0,0.0,0.0,6.983888626098633,X7HyMhZNoso,0,289.2652282714844,0,4,4
1.0,0.6447225352123773,0.6447225352123773,2.9358901977539062,X7HyMhZNoso,0,289.2652282714844,0,4,4
0.0,0.0,0.0,7.566993236541748,X7HyMhZNoso,0,289.2652282714844,0,29,29
0.0,0.0,0.0,6.8581953048706055,X7HyMhZNoso,0,289.2652282714844,0,4,4
1.0,0.5477206981709402,0.5477206981709402,2.033625841140747,X7HyMhZNoso,0,289.2652282714844,0,3,3
1.0,0.566296128077692,0.566296128077692,1.8283345699310303,X7HyMhZNoso,0,289.2652282714844,0,2,2
0.0,0.0,0.0,10.015298843383789,X7HyMhZNoso,0,289.2652282714844,0,8,8
0.0,0.0,0.0,11.25289249420166,X7HyMhZNoso,0,289.2652282714844,0,4,4
1.0,0.2659940750219684,0.2659940750219684,2.108694076538086,X7HyMhZNoso,0,289.2652282714844,0,5,5
1.0,0.6054316847884279,0.6054316847884279,0.5759528279304504,X7HyMhZNoso,0,289.2652282714844,0,3,3
0.0,0.0,0.0,13.366848945617676,X7HyMhZNoso,0,289.2652282714844,0,7,7
1.0,0.39782841933245466,0.39782841933245466,2.6453659534454346,X7HyMhZNoso,0,289.2652282714844,0,3,3
1.0,0.7685800967560603,0.7685800967560603,1.2723037004470825,TbHJrupSAjP,0,226.20193481445312,0,3,3
0.0,0.0,0.0,4.455881118774414,TbHJrupSAjP,0,226.20193481445312,0,4,4
0.0,0.0,0.0,8.83810806274414,TbHJrupSAjP,0,226.20193481445312,0,4,4
0.0,0.0,0.0,15.186233520507812,TbHJrupSAjP,0,226.20193481445312,0,8,8
0.0,0.0,0.0,6.8053154945373535,TbHJrupSAjP,0,226.20193481445312,0,4,4
0.0,0.0,0.0,11.79256820678711,TbHJrupSAjP,0,226.20193481445312,0,8,8
0.0,0.0,0.0,3.795499086380005,TbHJrupSAjP,0,226.20193481445312,0,4,4
0.0,0.0,0.0,18.62774085998535,TbHJrupSAjP,0,226.20193481445312,0,17,17
1.0,0.829238239261985,0.829238239261985,1.2897772789001465,TbHJrupSAjP,0,226.20193481445312,0,2,2
0.0,0.0,0.0,5.627394676208496,TbHJrupSAjP,0,226.20193481445312,0,3,3
0.0,0.0,0.0,20.225372314453125,TbHJrupSAjP,0,226.20193481445312,0,12,12
1.0,0.12203895357571774,0.12203895357571774,0.39224618673324585,TbHJrupSAjP,0,226.20193481445312,0,13,13
1.0,0.7166780021622562,0.7166780021622562,0.1921251267194748,TbHJrupSAjP,0,226.20193481445312,0,5,5
0.0,0.0,0.0,12.8865966796875,TbHJrupSAjP,0,226.20193481445312,0,4,4
1.0,0.17374634441582193,0.17374634441582193,1.5178879499435425,TbHJrupSAjP,0,226.20193481445312,0,12,12
0.0,0.0,0.0,3.614408493041992,TbHJrupSAjP,0,226.20193481445312,0,5,5
0.0,0.0,0.0,5.625385284423828,TbHJrupSAjP,0,226.20193481445312,0,6,6
1.0,0.40630121551572956,0.40630121551572956,0.08240354806184769,TbHJrupSAjP,0,226.20193481445312,0,4,4
0.0,0.0,0.0,10.557221412658691,TbHJrupSAjP,0,226.20193481445312,0,5,5
0.0,0.0,0.0,10.016013145446777,TbHJrupSAjP,0,226.20193481445312,0,3,3
1.0,0.17969105412804662,0.17969105412804662,0.3518270254135132,TbHJrupSAjP,0,226.20193481445312,0,7,7
0.0,0.0,0.0,9.107256889343262,TbHJrupSAjP,0,226.20193481445312,0,6,6
1.0,0.7410343690332123,0.7410343690332123,1.9181513786315918,TbHJrupSAjP,0,226.20193481445312,0,2,2
0.0,0.0,0.0,19.764659881591797,TbHJrupSAjP,0,226.20193481445312,0,7,7
1.0,0.23531284879669076,0.23531284879669076,1.4577041864395142,TbHJrupSAjP,0,226.20193481445312,0,8,8
0.0,0.0,0.0,5.228857040405273,TbHJrupSAjP,0,226.20193481445312,0,3,3
1.0,0.6604926386343078,0.6604926386343078,0.710967481136322,TbHJrupSAjP,0,226.20193481445312,0,4,4
1.0,0.6674425819601825,0.6674425819601825,2.3252766132354736,TbHJrupSAjP,0,226.20193481445312,0,2,2
1.0,0.06933372568860723,0.06933372568860723,2.235067129135132,TbHJrupSAjP,0,226.20193481445312,0,15,15
0.0,0.0,0.0,9.94648551940918,TbHJrupSAjP,0,226.20193481445312,0,7,7
1.0,0.23431599670241404,0.23431599670241404,1.8409767150878906,2azQ1b91cZZ,0,287.629638671875,0,5,5
0.0,0.0,0.0,10.29437255859375,2azQ1b91cZZ,0,287.629638671875,0,3,3
0.0,0.0,0.0,4.544750690460205,2azQ1b91cZZ,0,287.629638671875,0,4,4
0.0,0.0,0.0,4.669229030609131,2azQ1b91cZZ,0,287.629638671875,0,8,8
0.0,0.0,0.0,16.243261337280273,2azQ1b91cZZ,0,287.629638671875,0,3,3
0.0,0.0,0.0,4.099215030670166,2azQ1b91cZZ,0,287.629638671875,0,8,8
0.0,0.0,0.0,8.735468864440918,QUCTc6BB5sX,0,299.954345703125,0,17,17
0.0,0.0,0.0,4.184398651123047,QUCTc6BB5sX,0,299.954345703125,0,9,9
0.0,0.0,0.0,5.821864604949951,QUCTc6BB5sX,0,299.954345703125,0,9,9
1.0,0.41456528290575306,0.41456528290575306,1.004673719406128,QUCTc6BB5sX,0,299.954345703125,0,6,6
0.0,0.0,0.0,4.0299553871154785,QUCTc6BB5sX,0,299.954345703125,0,4,4
0.0,0.0,0.0,9.333489418029785,QUCTc6BB5sX,1,170.06137084960938,0,3,3
1.0,0.7977956374347284,0.7977956374347284,1.68943190574646,QUCTc6BB5sX,0,299.954345703125,0,2,2
0.0,0.0,0.0,11.181131362915039,QUCTc6BB5sX,0,299.954345703125,0,4,4
1.0,0.5197583170264399,0.5197583170264399,2.82967209815979,QUCTc6BB5sX,0,299.954345703125,0,4,4
0.0,0.0,0.0,7.168371200561523,QUCTc6BB5sX,0,299.954345703125,0,6,6
0.0,0.0,0.0,3.356762647628784,QUCTc6BB5sX,0,299.954345703125,0,10,10
1.0,0.6871261148891312,0.6871261148891312,0.8248145580291748,QUCTc6BB5sX,0,299.954345703125,0,5,5
0.0,0.0,0.0,6.96182918548584,QUCTc6BB5sX,0,299.954345703125,0,7,7
0.0,0.0,0.0,10.974165916442871,QUCTc6BB5sX,1,170.06137084960938,0,8,8
1.0,1.0,1.0,1.0610883235931396,QUCTc6BB5sX,0,299.954345703125,0,2,2
1.0,0.6417371352997048,0.6417371352997048,1.5480616092681885,QUCTc6BB5sX,0,299.954345703125,0,8,8
0.0,0.0,0.0,6.045653343200684,QUCTc6BB5sX,0,299.954345703125,0,3,3
0.0,0.0,0.0,3.7397947311401367,QUCTc6BB5sX,0,299.954345703125,0,2,2
1.0,0.3966612755920984,0.3966612755920984,0.812987208366394,QUCTc6BB5sX,0,299.954345703125,0,7,7
0.0,0.0,0.0,10.606611251831055,QUCTc6BB5sX,0,299.954345703125,0,10,10
0.0,0.0,0.0,3.154873847961426,QUCTc6BB5sX,0,299.954345703125,0,5,5
1.0,0.5206259988947294,0.5206259988947294,1.9887701272964478,QUCTc6BB5sX,0,299.954345703125,0,4,4
0.0,0.0,0.0,3.0929532051086426,QUCTc6BB5sX,0,299.954345703125,0,5,5
0.0,0.0,0.0,24.275489807128906,QUCTc6BB5sX,0,299.954345703125,0,7,7
0.0,0.0,0.0,8.009641647338867,QUCTc6BB5sX,0,299.954345703125,0,4,4
1.0,0.9083988113113064,0.9083988113113064,0.6722373366355896,QUCTc6BB5sX,0,299.954345703125,0,5,5
